OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
ORBCOMM FM17,1998-046A,2024-12-31T20:59:40.822656,14.34445764,0.0001618,44.9952,326.8891,39.3237,320.7726,0,U,25413,999,37914,0.001423,3.905e-05,0.0,7155.04582813042,Orbcomm
ORBCOMM FM116,2015-081L,2024-12-31T21:52:57.238176,14.57677067,0.0002062,47.0008,265.3173,351.9897,8.0955,0,U,41189,999,48124,0.00083141,3.663e-05,0.0,7078.821487054893,Orbcomm
GLOBALSTAR M022,1999-012A,2024-12-31T18:34:58.902240,12.02494107,0.000242,52.0062,26.0049,193.1664,338.2708,0,U,25649,999,15623,-1.1383e-05,-8.8e-07,0.0,8047.849944223984,Globalstar
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.8802174,0.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,0.0013049,0.00016103,0.0,6982.254218977259,CubeSat
SPACEBEE-7,2018-099BL,2024-12-31T10:39:38.346048,15.23725504,0.0007126,97.5222,68.9892,329.6493,30.433,0,U,43816,999,33231,0.0016453,0.00039658,0.0,6872.7521673873,CubeSat
SITRO-AIS 11 (SHEFFER),2023-091AU,2024-12-31T22:17:48.623136,15.1852976,0.0011208,97.586,60.0001,138.4693,221.7394,0,U,57208,999,8349,0.0013426,0.00027774,0.0,6888.420273569207,CubeSat
GLOBALSTAR M066,2007-048C,2024-12-31T22:11:33.604800,12.42169005,0.0001601,51.965,151.8543,102.6619,75.259,0,U,32265,999,79459,-0.00011996,-1.14e-06,0.0,7875.558873324333,Globalstar
PROMETHEUS 2-1,2016-067G,2025-01-01T00:24:11.695392,15.31633024,0.0009739,98.0906,197.7067,89.4729,270.7626,0,U,41854,999,44585,0.0020683,0.00063644,0.0,6849.076654471864,CubeSat
FUNCUBE-1 (AO-73),2013-066AE,2024-12-31T14:52:01.156512,14.9803138,0.0042431,97.744,322.8371,200.3011,159.6526,0,U,39444,999,59960,0.001408,0.00016918,0.0,6951.116502060727,CubeSat
ORBCOMM FM09,1997-084E,2024-12-31T18:14:23.345952,14.44235296,0.000339,45.0147,93.9833,80.7281,279.3953,0,U,25116,999,41726,0.0016604,5.618e-05,0.0,7122.676254786378,Orbcomm
GLOBALSTAR M029,1999-062C,2024-12-31T22:22:29.911296,11.99889958,0.0003435,51.977,187.8295,130.1151,20.4486,0,U,25963,999,14904,0.00031203,-6.1e-07,0.0,8059.490026539419,Globalstar
BRITE-CA1 (TORONTO),2014-033L,2024-12-31T19:37:01.815168,14.70809683,0.0081266,97.9021,137.5091,179.8689,180.2553,0,U,40020,999,56390,0.00080422,5.121e-05,0.0,7036.621448168622,CubeSat
GLOBALSTAR M026,1999-041B,2024-12-31T22:07:45.234912,11.06826387,0.0001453,51.997,187.6994,25.3746,150.8428,0,U,25873,999,12996,3.952e-05,-6.3e-07,0.0,8505.153807312294,Globalstar
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat
SITRO-AIS 36,2024-039J,2025-01-01T04:16:07.960224,15.5019152,0.0007687,97.4101,330.5887,208.257,151.8266,0,U,59059,999,4701,0.0019045,0.00108797,0.0,6794.303405478293,CubeSat
GLOBALSTAR M015,1998-023C,2024-12-31T18:20:56.980032,11.48855432,0.0012747,51.9847,3.7466,138.1654,32.772,0,U,25308,999,17483,0.00013379,-6.8e-07,0.0,8296.436369227298,Globalstar
AEROCUBE 5C,2015-058B,2024-12-31T20:59:37.726080,14.86257925,0.0184947,64.7696,113.2492,249.2149,108.9062,0,U,40965,999,28638,0.0011644,0.00013896,0.0,6987.777248737578,CubeSat
CANX-4,2014-034C,2024-12-31T15:27:25.939008,14.79437493,0.0012028,98.376,209.6642,281.8535,78.1326,0,U,40055,999,56573,0.00062925,4.647e-05,0.0,7009.237258549208,CubeSat
GLOBALSTAR M065,2007-020A,2024-12-31T19:39:41.131584,12.61990532,0.0010043,51.9912,15.6782,295.4642,234.6281,0,U,31571,999,81227,0.00077153,3.4e-07,0.0,7792.876198681137,Globalstar
BEESAT-1,2009-051C,2024-12-31T15:04:25.309344,14.60045994,0.0006696,98.4407,254.4097,80.7718,279.4238,0,U,35933,999,81142,0.0008501,4.037e-05,0.0,7071.162482078481,Amateur Radio
SITRO-AIS 36,2024-039J,2025-01-01T04:16:07.960224,15.5019152,0.0007687,97.4101,330.5887,208.257,151.8266,0,U,59059,999,4701,0.0019045,0.00108797,0.0,6794.303405478293,CubeSat
BRITE-CA1 (TORONTO),2014-033L,2024-12-31T19:37:01.815168,14.70809683,0.0081266,97.9021,137.5091,179.8689,180.2553,0,U,40020,999,56390,0.00080422,5.121e-05,0.0,7036.621448168622,CubeSat
